Fund,Date,Direction,Ticker,CUSIP,% of ETF	
ARKF,09/9/2020,Sell,AAPL,037833100,APPLE INC,0.5060
ARKF,09/9/2020,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,0.2489 
ARKF,09/9/2020,Buy,DOCU,256163106,DOCUSIGN INC,0.2004
ARKF,09/9/2020,Sell,HDB,40415F101,HDFC BANK LTD,0.3029
ARKF,09/9/2020,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,0.7374
ARKF,09/9/2020,Buy,INTU,461202103,INTUIT INC,0.3061
ARKF,09/9/2020,Sell,SQ,852234103,SQUARE INC,0.1959
ARKF,09/9/2020,Buy,TREE,52603B107,LENDINGTREE INC,0.3071
ARKF,09/9/2020,Buy,TWLO,90138F102,TWILIO INC,0.4066
ARKF,09/9/2020,Buy,WDAY,98138H101,WORKDAY INC,0.2015
ARKF,09/9/2020,Buy,WORK,83088V102,SLACK TECHNOLOGIES INC,0.1984
ARKF,09/9/2020,Sell,Z,98954M200,ZILLOW GROUP INC,0.4053
ARKG,09/9/2020,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,0.1458
ARKG,09/9/2020,Buy,AQB,03842K200,AQUABOUNTY TECHNOLOGIES INC,0.0311
ARKG,09/9/2020,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,0.0178
ARKG,09/9/2020,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,0.0105
ARKG,09/9/2020,Buy,CLLS,15117K103,CELLECTIS SA,0.0153
ARKG,09/9/2020,Sell,CSTL,14843C105,CASTLE BIOSCIENCES INC,0.0878 
ARKK,09/9/2020,Sell,CGEN,M25722105,COMPUGEN LTD,0.0530
ARKK,09/9/2020,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,0.0140
ARKK,09/9/2020,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,0.0448
ARKK,09/9/2020,Sell,MTLS,57667T100,MATERIALISE NV,0.0224
ARKK,09/9/2020,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,0.1472
ARKK,09/9/2020,Buy,NTDOY,654445303,NINTENDO CO LTD,0.0532
ARKK,09/9/2020,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,0.0004
ARKK,09/9/2020,Sell,PINS,72352L106,PINTEREST INC,0.0392
ARKK,09/9/2020,Sell,TER,880770102,TERADYNE INC,0.0376
ARKK,09/9/2020,Buy,TWOU,90214J101,2U INC,0.0015
ARKK,09/9/2020,Buy,WORK,83088V102,SLACK TECHNOLOGIES INC,0.4723
ARKK,09/9/2020,Sell,Z,98954M200,ZILLOW GROUP INC,0.0409
ARKW,09/9/2020,Sell,AAPL,037833100,APPLE INC,0.1766
ARKW,09/9/2020,Sell,AYX,02156B103,ALTERYX INC,0.0892
ARKW,09/9/2020,Sell,ROKU,77543R102,ROKU INC,0.2588
ARKW,09/9/2020,Buy,TWLO,90138F102,TWILIO INC,0.1529
ARKW,09/9/2020,Sell,VMW,928563402,VMWARE INC,0.1481
ARKW,09/9/2020,Buy,WORK,83088V102,SLACK TECHNOLOGIES INC,0.5208
ARKG,09/1/2020,Buy,CLLS,15117K103,CELLECTIS SA,0.0015
ARKG,09/1/2020,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,0.0256
ARKG,09/1/2020,Buy,EXAS,30063P105,EXACT SCIENCES CORP,0.3383
ARKG,09/1/2020,Sell,GH,40131M109,GUARDANT HEALTH INC,0.2643
ARKG,09/1/2020,Sell,NVTA,46185L103,INVITAE CORP,0.1195
ARKG,09/1/2020,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,0.0244
ARKK,09/1/2020,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,0.0309
ARKK,09/1/2020,Sell,MTLS,57667T100,MATERIALISE NV,0.0131
ARKK,09/1/2020,Buy,NTDOY,654445303,NINTENDO CO LTD,0.0028
ARKK,09/1/2020,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,0.0008
ARKK,09/1/2020,Buy,SNPS,871607107,SYNOPSYS INC,0.0357
ARKK,09/1/2020,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,0.1258
ARKK,09/1/2020,Buy,TREE,52603B107,LENDINGTREE INC,0.0245
ARKK,09/1/2020,Sell,XLNX,983919101,XILINX INC,0.1885
ARKQ,09/1/2020,Buy,BYDDY,05606L100,BYD CO LTD,0.0839
ARKQ,09/1/2020,Buy,NIU,65481N100,NIU TECHNOLOGIES,0.1155
ARKG,09/2/2020,Buy,AQB,03842K200,AQUABOUNTY TECHNOLOGIES INC,0.0470
ARKG,09/2/2020,Buy,CLLS,15117K103,CELLECTIS SA,0.0120
ARKK,09/2/2020,Sell,ADSK,052769106,AUTODESK INC,0.2960
ARKK,09/2/2020,Sell,MTLS,57667T100,MATERIALISE NV,0.0130
ARKK,09/2/2020,Buy,NTDOY,654445303,NINTENDO CO LTD,0.0630
ARKK,09/2/2020,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,0.1050
ARKK,09/2/2020,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,0.3710
ARKK,09/2/2020,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0.2510
ARKK,09/2/2020,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,0.2490
ARKK,09/2/2020,Sell,XLNX,983919101,XILINX INC,0.0630
ARKQ,09/2/2020,Sell,ADSK,052769106,AUTODESK INC,0.1470
ARKQ,09/2/2020,Buy,BYDDY,05606L100,BYD CO LTD,0.1580
ARKQ,09/2/2020,Sell,XLNX,983919101,XILINX INC,0.1490
ARKW,09/2/2020,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,1.0040
ARKW,09/2/2020,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,0.9810
ARKG,09/4/2020,Buy,AQB,03842K200,AQUABOUNTY TECHNOLOGIES INC,0.0090
ARKG,09/4/2020,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,0.2802
ARKG,09/4/2020,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,0.0059
ARKG,09/4/2020,Buy,CLLS,15117K103,CELLECTIS SA,0.0342
ARKG,09/4/2020,Sell,GH,40131M109,GUARDANT HEALTH INC,0.0671
ARKG,09/4/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,0.1477
ARKG,09/4/2020,Sell,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,0.4427
ARKK,09/4/2020,Buy,DOCU,256163106,DOCUSIGN INC,0.4916
ARKK,09/4/2020,Sell,MTLS,57667T100,MATERIALISE NV,0.0004
ARKK,09/4/2020,Buy,PD,69553P100,PAGERDUTY INC,0.1634
ARKK,09/4/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,0.1516
ARKK,09/4/2020,Sell,TER,880770102,TERADYNE INC,0.2924
ARKK,09/4/2020,Buy,TWOU,90214J101,2U INC,0.0731
ARKK,09/4/2020,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,0.4775
ARKK,09/4/2020,Sell,XLNX,983919101,XILINX INC,0.2884
ARKW,09/4/2020,Buy,DOCU,256163106,DOCUSIGN INC,0.4918
ARKW,09/4/2020,Buy,PD,69553P100,PAGERDUTY INC,0.2564
ARKW,09/4/2020,Sell,SQ,852234103,SQUARE INC,0.2435
ARKW,09/4/2020,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,0.4941
ARKG,09/8/2020,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS,0.0100
ARKG,09/8/2020,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,0.0200
ARKK,09/8/2020,Sell,CGEN,M25722105,COMPUGEN LTD,0.0100
ARKK,09/8/2020,Sell,FB,30303M102,FACEBOOK INC,0.1000
ARKK,09/8/2020,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,0.0200
ARKK,09/8/2020,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,0.0100
ARKK,09/8/2020,Buy,NTDOY,654445303,NINTENDO CO LTD,0.0400
ARKK,09/8/2020,Sell,PINS,72352L106,PINTEREST INC,0.2100
ARKK,09/8/2020,Sell,ROKU,77543R102,ROKU INC,0.2500
ARKK,09/8/2020,Sell,TER,880770102,TERADYNE INC,0.1500
ARKK,09/8/2020,Buy,TSLA,88160R101,TESLA INC,0.8400
ARKK,09/8/2020,Buy,TWOU,90214J101,2U INC,0.1100
ARKK,09/8/2020,Sell,Z,98954M200,ZILLOW GROUP INC,0.1700
ARKK,09/8/2020,Sell,ZS,98980G102,ZSCALER INC,0.0500
ARKQ,09/8/2020,Sell,AAPL,037833100,APPLE INC,0.2000
ARKQ,09/8/2020,Sell,ISRG,46120E602,INTUITIVE SURGICAL INC,0.3500
ARKQ,09/8/2020,Sell,MTLS,57667T100,MATERIALISE NV,0.0800
ARKQ,09/8/2020,Sell,TER,880770102,TERADYNE INC,0.1500
ARKQ,09/8/2020,Buy,TSLA,88160R101,TESLA INC,0.8100
ARKW,09/8/2020,Sell,AAPL,037833100,APPLE INC,0.8200
ARKW,09/8/2020,Buy,CRWD,22788C105,CROWDSTRIKE HOLDINGS INC,0.2100
ARKW,09/8/2020,Buy,GBTC,389637109,GRAYSCALE BITCOIN TRUST BTC,0.1300
ARKW,09/8/2020,Buy,TSLA,88160R101,TESLA INC,0.8000
ARKW,09/8/2020,Buy,TWLO,90138F102,TWILIO INC,0.3000
ARKW,09/8/2020,Sell,VMW,928563402,VMWARE INC,0.6600